Country & Variable (Combined);Country;M49;Variables;Variable;Units;Symbol;Symbol Description;Units;Symbol;2015;2016;2017;2018;2019;2020
New Zealand, Fresh groundwater withdrawal;New Zealand;554;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.56;2.56;2.56;2.56;2.56;2.56
Niger, Fresh groundwater withdrawal;Niger;562;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;1.58;1.61;1.45;2.24;2.38;2.38
North Macedonia, Fresh groundwater withdrawal;North Macedonia;807;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.13;0.16;0.09;;;0.01
North Macedonia, Fresh groundwater withdrawal;North Macedonia;807;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;;;;0.01;0.01;
Oman, Fresh groundwater withdrawal;Oman;512;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;1.53;1.53;1.53;1.53;1.53;1.53
Pakistan, Fresh groundwater withdrawal;Pakistan;586;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;59.21;65.37;61.67;64.14;62.91;61.43
Palestine, Fresh groundwater withdrawal;Palestine;275;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.25;0.25;0.26;0.27;0.29;0.3
Paraguay, Fresh groundwater withdrawal;Paraguay;600;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.44;0.44;0.44;0.44;0.44;0.44
Peru, Fresh groundwater withdrawal;Peru;604;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;;1.29;
Peru, Fresh groundwater withdrawal;Peru;604;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;3.93;4.24;4.55;4.86;;1.29
Philippines, Fresh groundwater withdrawal;Philippines;608;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;4.49;4.66;4.04;4.07;4.26;
Philippines, Fresh groundwater withdrawal;Philippines;608;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;4.26
Poland, Fresh groundwater withdrawal;Poland;616;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;1.68;1.69;1.67;1.77;1.77;1.77
Portugal, Fresh groundwater withdrawal;Portugal;620;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;2.78;1.93;1.92;;
Portugal, Fresh groundwater withdrawal;Portugal;620;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;3.01;;;;1.92;1.92
Puerto Rico, Fresh groundwater withdrawal;Puerto Rico;630;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.14;;;;;
Puerto Rico, Fresh groundwater withdrawal;Puerto Rico;630;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;0.14;0.14;0.14;0.14;0.14
Qatar, Fresh groundwater withdrawal;Qatar;634;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.25;0.25;0.25;0.25;0.25;0.25
Republic of Korea, Fresh groundwater withdrawal;Republic of Korea;410;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;3.72;3.72;3.72;3.72;3.72;3.72
Republic of Moldova, Fresh groundwater withdrawal;Republic of Moldova;498;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.13;0.13;0.13;0.13;0.13;0.13
Romania, Fresh groundwater withdrawal;Romania;642;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.59;0.64;0.65;0.68;;
Romania, Fresh groundwater withdrawal;Romania;642;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0.68;0.68
Russian Federation, Fresh groundwater withdrawal;Russian Federation;643;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;10.12;12.48;12.36;12.38;;
Russian Federation, Fresh groundwater withdrawal;Russian Federation;643;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;12.38;12.38
Rwanda, Fresh groundwater withdrawal;Rwanda;646;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;;0.12;
Rwanda, Fresh groundwater withdrawal;Rwanda;646;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;0.12
Saint Kitts and Nevis, Fresh groundwater withdrawal;Saint Kitts and Nevis;659;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.01;0.01;0.01;0.01;0.01;0.01
Saint Vincent and the Grenadines, Fresh groundwater withdrawal;Saint Vincent and the Grenadines;670;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Saudi Arabia, Fresh groundwater withdrawal;Saudi Arabia;682;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;22.65;21.59;22.38;22.46;;
Saudi Arabia, Fresh groundwater withdrawal;Saudi Arabia;682;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;22.46;22.46
Senegal, Fresh groundwater withdrawal;Senegal;686;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;0.17;0.18;0.21;
Senegal, Fresh groundwater withdrawal;Senegal;686;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;0.21
Serbia, Fresh groundwater withdrawal;Serbia;688;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.48;0.44;0.46;0.5;0.48;0.49
Seychelles, Fresh groundwater withdrawal;Seychelles;690;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Slovakia, Fresh groundwater withdrawal;Slovakia;703;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.3;0.3;0.31;0.32;0.32;0.31
Slovenia, Fresh groundwater withdrawal;Slovenia;705;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.19;0.18;0.19;0.19;0.19;0.19
Somalia, Fresh groundwater withdrawal;Somalia;706;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.13;0.13;0.13;0.13;0.13;0.13
South Africa, Fresh groundwater withdrawal;South Africa;710;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;2.43;2.52;2.62;2.78;3.05;2.89
Spain, Fresh groundwater withdrawal;Spain;724;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;6.33;6.39;6.15;5.91;;6.41
Spain, Fresh groundwater withdrawal;Spain;724;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;6.16;
Suriname, Fresh groundwater withdrawal;Suriname;740;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.05;0.05;0.05;0.05;0.05;0.05
Sweden, Fresh groundwater withdrawal;Sweden;752;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.37;;;;;0.39
Sweden, Fresh groundwater withdrawal;Sweden;752;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;0.37;0.38;0.38;0.39;
Switzerland, Fresh groundwater withdrawal;Switzerland;756;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.86;;0.85;0.85;0.85;0.85
Switzerland, Fresh groundwater withdrawal;Switzerland;756;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;;0.85;;;;
Tajikistan, Fresh groundwater withdrawal;Tajikistan;762;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.53;;;;;
Tajikistan, Fresh groundwater withdrawal;Tajikistan;762;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;0.45;0.41;0.5;0.54;0.54
Thailand, Fresh groundwater withdrawal;Thailand;764;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;9.83;9.83;9.83;9.83;9.83;9.83
Trinidad and Tobago, Fresh groundwater withdrawal;Trinidad and Tobago;780;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.11;0.11;0.11;0.11;0.11;0.11
Tunisia, Fresh groundwater withdrawal;Tunisia;788;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;2.8;2.69;2.73;2.75;2.82
Tunisia, Fresh groundwater withdrawal;Tunisia;788;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.65;;;;;
Türkiye, Fresh groundwater withdrawal;Türkiye;792;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;14.6;15.06;;16.18;16.62;
Türkiye, Fresh groundwater withdrawal;Türkiye;792;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;16.62
Türkiye, Fresh groundwater withdrawal;Türkiye;792;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;;;15.46;;;
Turkmenistan, Fresh groundwater withdrawal;Turkmenistan;795;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;;;0.21
Turkmenistan, Fresh groundwater withdrawal;Turkmenistan;795;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.31;0.31;0.32;0.29;0.3;
Ukraine, Fresh groundwater withdrawal;Ukraine;804;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;1.29;1.27;1.17;1.17;1.16;0.97
United Arab Emirates, Fresh groundwater withdrawal;United Arab Emirates;784;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;2.52;2.45;2.5;2.44;2.38
United Arab Emirates, Fresh groundwater withdrawal;United Arab Emirates;784;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.54;;;;;
United Kingdom of Great Britain and Northern Ireland, Fresh groundwater withdrawal;United Kingdom of Great Britain and Northern Ireland;826;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;2.03;2.04;;;;
United Kingdom of Great Britain and Northern Ireland, Fresh groundwater withdrawal;United Kingdom of Great Britain and Northern Ireland;826;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;2.04;2.04;2.04;2.04
United States of America, Fresh groundwater withdrawal;United States of America;840;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;111.31;111.31;111.31;111.31;111.31;111.31
Uruguay, Fresh groundwater withdrawal;Uruguay;858;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.14;0.14;0.14;0.14;0.14;0.14
Uzbekistan, Fresh groundwater withdrawal;Uzbekistan;860;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.54;0.55;0.49;;;
Uzbekistan, Fresh groundwater withdrawal;Uzbekistan;860;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;0.49;0.49;0.49
Viet Nam, Fresh groundwater withdrawal;Viet Nam;704;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;1.4;1.4;1.4;1.4;1.4;1.4
Yemen, Fresh groundwater withdrawal;Yemen;887;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.53;2.53;2.53;2.53;2.53;2.53
Zambia, Fresh groundwater withdrawal;Zambia;894;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.06;0.06;0.06;0.06;0.06;0.06
Zimbabwe, Fresh groundwater withdrawal;Zimbabwe;716;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.95;0.95;0.94;1.06;;
Zimbabwe, Fresh groundwater withdrawal;Zimbabwe;716;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;1.06;1.06
